term,category,definition,example,related,image_url
SIA 102,Normes,Reglement qui decrit les prestations et honoraires des architectes en Suisse.,On s'y refere pour definir les phases et le role de l'architecte.,Phases SIA 102|Maitre d'oeuvre|Contrat,
Avant-projet,Phases,Premieres esquisses selon les contraintes et les souhaits du mandant.,Organisation generale et volumetrie.,Programme|Projet,
Coupe,Dessin,Vue verticale qui montre les niveaux et la structure.,Hauteurs sous plafond et toiture.,Plan d'etage|Niveau,
